ItemId,SeriesId,IsCollection
12894,,1
13794,,1
14269,,1
14279,,1
14280,,1
14281,,1
14282,,1
14283,,1
15940,,1
14030,,1
14031,,1
13613,,1
13614,,1
15956,,1
14803,,1
14313,,1
14036,,1
13883,,1
14340,,1
13814,,1
12907,,1
12909,,1
13978,,1
14362,,1
14363,,1
13914,,1
13807,,1
13972,,1
13824,,1
13562,,1
14375,,1
14379,,1
14826,,1
14388,,1
14389,,1
12943,,1
12944,,1
12946,,1
14400,,1
13894,,1
13910,,1
13337,,1
14142,,1
13836,,1
13837,,1
12858,,1
14888,,1
15976,,1
15067,,1
15066,,1
15991,,1
15992,,1
15993,,1
15106,,1
14151,,1
13391,,1
13995,,1
12835,,1
13918,,1
13919,,1
13920,,1
13922,,1
13854,,1
13905,,1
14628,,1
13964,,1
14639,,1
14644,,1
14204,,1
15157,,1
15158,,1
14206,,1
13975,,1
13954,,1
13994,,1
14745,,1
14117,,1
13983,,1
14009,,1
21762,,1
21763,,1
20111,,1
21766,,1
21787,,1
21788,,1
21789,,1
21791,,1
20574,,1
20605,,1
20606,,1
20745,,1
21823,,1
20826,,1
20888,,1
20908,,1
21850,,1
21851,,1
21880,,1
21885,,1
21886,,1
21891,,1
21145,,1
21172,,1
21904,,1
21909,,1
21914,,1
21937,,1
21950,,1
21955,,1
21956,,1
21482,,1
21958,,1
23775,,1
22315,,1
23789,,1
23796,,1
23799,,1
23800,,1
23801,,1
23864,,1
25969,,1
24137,,1
24572,,1
24573,,1
24694,,1
24696,,1
24702,,1
24218,,1
25226,,1
24743,,1
24751,,1
24752,,1
24361,,1
27224,,1
26040,,1
27267,,1
26263,,1
26264,,1
26265,,1
26266,,1
26087,,1
26163,,1
26054,,1
26115,,1
26224,,1
26469,,1
26473,,1
26718,,1
26807,,1
26809,,1
27991,,1
27993,,1
27684,,1
27996,,1
28273,,1
28274,,1
28693,,1
28867,,1
28869,,1
29005,,1
31713,,1
33883,,1
33884,,1
33886,,1
33903,,1
33888,,1
33908,,1
33911,,1
34000,,1
33912,,1
32413,,1
32339,,1
33939,,1
32496,,1
31723,,1
31728,,1
31731,,1
31741,,1
31748,,1
31767,,1
31778,,1
31781,,1
31786,,1
31791,,1
30499,,1
31803,,1
31805,,1
31808,,1
30503,,1
30504,,1
30514,,1
31812,,1
30552,,1
30569,,1
30608,,1
30643,,1
30665,,1
30835,,1
31846,,1
30876,,1
31860,,1
30985,,1
31010,,1
31877,,1
31891,,1
31892,,1
31225,,1
31907,,1
31911,,1
31335,,1
31447,,1
31919,,1
31922,,1
31927,,1
31459,,1
31930,,1
31934,,1
31935,,1
31936,,1
31939,,1
31940,,1
31472,,1
31944,,1
31945,,1
31947,,1
31948,,1
31949,,1
31951,,1
31515,,1
31519,,1
31521,,1
31956,,1
31961,,1
31967,,1
31968,,1
31970,,1
31640,,1
31641,,1
31989,,1
31995,,1
33880,,1
36229,,1
34493,,1
36277,,1
32872,,1
34599,,1
36297,,1
36302,,1
36303,,1
36327,,1
36328,,1
36329,,1
35913,,1
35935,,1
35983,,1
36408,,1
37914,,1
36434,,1
36446,,1
34815,,1
36712,,1
36756,,1
33848,,1
33849,,1
36890,,1
36141,,1
34830,,1
36142,,1
36951,,1
34885,,1
35541,,1
35213,,1
37129,,1
37213,,1
37218,,1
33815,,1
33966,,1
33114,,1
37328,,1
37335,,1
36182,,1
37371,,1
35977,,1
36113,,1
37378,,1
37391,,1
35555,,1
37456,,1
34362,,1
35994,,1
37470,,1
37596,,1
37949,,1
37959,,1
37654,,1
37657,,1
37987,,1
38002,,1
46262,,1
40668,,1
44265,,1
45121,,1
42026,,1
42585,,1
42587,,1
43979,,1
42600,,1
42603,,1
43985,,1
103986,,1
103987,,1
103989,,1
103997,,1
103998,,1
103999,,1
104000,,1
104015,,1
104016,,1
104019,,1
104020,,1
104021,,1
104022,,1
104023,,1
104029,,1
104036,,1
104045,,1
104049,,1
104050,,1
104051,,1
104052,,1
104056,,1
104061,,1
104062,,1
104063,,1
104105,,1
104106,,1
105906,,1
105907,,1
105908,,1
104114,,1
104118,,1
104119,,1
104122,,1
104123,,1
104126,,1
104131,,1
104132,,1
104170,,1
104182,,1
104307,,1
104318,,1
104334,,1
104341,,1
105914,,1
105916,,1
105925,,1
105931,,1
105932,,1
105933,,1
105934,,1
104403,,1
105935,,1
105937,,1
105942,,1
49965,,1
49972,,1
49191,,1
49192,,1
49978,,1
49980,,1
49984,,1
49882,,1
49986,,1
49987,,1
49988,,1
49989,,1
49992,,1
49993,,1
49994,,1
49912,,1
49996,,1
49997,,1
49916,,1
49998,,1
49917,,1
49954,,1
50010,,1
98243,,1
99970,,1
99972,,1
98368,,1
98369,,1
98417,,1
99976,,1
98451,,1
98458,,1
98464,,1
98486,,1
98487,,1
99979,,1
99982,,1
98777,,1
98961,,1
98993,,1
99210,,1
99256,,1
99376,,1
99379,,1
99430,,1
99436,,1
99442,,1
99992,,1
99993,,1
99611,,1
100192,,1
100827,,1
100965,,1
101032,,1
101997,,1
101563,,1
101564,,1
101577,,1
101999,,1
101927,,1
101966,,1
102537,,1
102538,,1
103955,,1
102701,,1
103956,,1
103957,,1
103958,,1
103963,,1
103240,,1
103977,,1
103386,,1
103470,,1
103981,,1
103982,,1
103983,,1
103984,,1
103569,,1
103592,,1
99968,,1
52120,,1
53940,,1
53941,,1
53943,,1
52371,,1
53945,,1
52379,,1
53947,,1
52408,,1
52823,,1
52824,,1
53951,,1
53003,,1
53954,,1
53956,,1
53961,,1
53284,,1
53963,,1
53320,,1
53332,,1
53359,,1
53970,,1
53375,,1
53381,,1
53974,,1
53977,,1
53423,,1
53981,,1
53985,,1
53487,,1
53990,,1
53504,,1
53505,,1
53506,,1
53510,,1
53512,,1
53514,,1
53516,,1
53519,,1
53523,,1
53524,,1
53525,,1
53526,,1
53527,,1
53530,,1
53531,,1
53545,,1
53644,,1
53645,,1
53646,,1
53996,,1
53658,,1
53659,,1
53997,,1
53998,,1
53664,,1
53665,,1
76621,,1
76068,,1
76623,,1
76071,,1
76628,,1
77945,,1
77946,,1
76647,,1
77952,,1
76663,,1
76667,,1
76668,,1
76669,,1
76672,,1
77954,,1
77164,,1
77235,,1
77305,,1
77966,,1
77967,,1
77972,,1
77974,,1
77380,,1
77383,,1
77387,,1
77397,,1
77407,,1
77977,,1
77978,,1
77979,,1
77981,,1
77983,,1
77984,,1
77986,,1
77698,,1
77699,,1
77700,,1
77701,,1
77702,,1
77704,,1
