S7592        6 vols     4 state chapters  LADDER  c1-c32 over 4 volumes                                        Girls' Last Tour
S7599       14 vols    14 state chapters  LADDER  c1-c88 over 14 volumes                                       Gleipnir
S7618       11 vols    11 state chapters  LADDER  c1-c57 over 11 volumes                                       Goblin Slayer
S7637        8 vols     0 state chapters  NO      nothing ranged                                               Godchild
S7758        5 vols     5 state chapters  LADDER  c1-c19 over 5 volumes                                        Golden Japanesque - A Splendid Yokohama 
S7759       31 vols    31 state chapters  LADDER  c1-c314 over 31 volumes                                      Golden kamuy
S7764       15 vols    14 state chapters  NO      volume order and chapter order disagree, first at Golgo 13 B Golgo
S7789        7 vols     7 state chapters  LADDER  c1-c147 over 7 volumes                                       Goodnight Punpun
S7826        7 vols     7 state chapters  LADDER  c1-c43 over 7 volumes                                        Granblue Fantasy
S7827       19 vols    19 state chapters  NO      v[43483] c58-62 overlaps v[43484] c62-65                     Grand Blue
S7841        5 vols     0 state chapters  NO      nothing ranged                                               Granny Girl Hinata-chan
S7857        2 vols     2 state chapters  LADDER  c1-c17 over 2 volumes                                        Gravitation
S8179        5 vols     0 state chapters  NO      nothing ranged                                               Guilty
S8193        2 vols     0 state chapters  NO      nothing ranged                                               Gundam Wing
S8195        1 vols     1 state chapters  LADDER  single volume                                                Gundam Wing ver1.5
S8201       15 vols    15 state chapters  LADDER  c1-c100 over 15 volumes                                      Gunslinger Girl
S8203        5 vols     0 state chapters  NO      nothing ranged                                               Gunsmith Cats - Burst
S8204        4 vols     0 state chapters  NO      nothing ranged                                               Gunsmith Cats - Revised Edition
S8227        2 vols     0 state chapters  NO      nothing ranged                                               Gyo
S8234        3 vols     0 state chapters  NO      nothing ranged                                               H.P. Lovecraft's At the Mountains of Mad
S8266       45 vols    36 state chapters  LADDER  c81-c402 over 36 volumes                                     Haikyu!!
S8301        3 vols     3 state chapters  NO      volume order and chapter order disagree, first at Hanaotoko  Hanaotoko
S8309       10 vols    10 state chapters  LADDER  c1-c50 over 10 volumes                                       Happiness
S8400        1 vols     0 state chapters  NO      nothing ranged                                               Haru Hana
S8401        1 vols     1 state chapters  LADDER  single volume                                                Haru's Curse
S8530        2 vols     0 state chapters  NO      nothing ranged                                               Heavenly Delusion
S8723       10 vols    10 state chapters  LADDER  c1-c90 over 10 volumes                                       Helck
S8732        6 vols     4 state chapters  NO      volume order and chapter order disagree, first at Hell's Par Hell's Paradise - Jigokuraku
S8788       10 vols     3 state chapters  LADDER  c1-c18 over 3 volumes                                        Hellsing
S8825        9 vols     0 state chapters  NO      nothing ranged                                               Here is Greenwood
S8869        4 vols     4 state chapters  LADDER  c1-c16 over 4 volumes                                        Heroine for Hire
S8870        4 vols     0 state chapters  NO      nothing ranged                                               Heterogenia Linguistico
S8885        3 vols     3 state chapters  LADDER  c1-c18 over 3 volumes                                        Hi-Fi Cluster
S8901       23 vols     0 state chapters  NO      nothing ranged                                               Hikaru no Go
S8907        8 vols     8 state chapters  LADDER  c1-c53 over 8 volumes                                        Hinowa ga crush!
S8913        1 vols     1 state chapters  LADDER  single volume                                                Hiro Mashima's Playground
S8959       10 vols     5 state chapters  LADDER  c1-c10 over 5 volumes                                        Homunculus
S8967       10 vols     0 state chapters  NO      nothing ranged                                               Honey and Clover
S9007        8 vols     0 state chapters  NO      nothing ranged                                               House Of Five Leaves
S9040        7 vols     7 state chapters  LADDER  c1-c63 over 7 volumes                                        How Do We Relationship
S9051        3 vols     3 state chapters  LADDER  c1-c15 over 3 volumes                                        Train Train
S9148       37 vols    37 state chapters  LADDER  c1-c390 over 37 volumes                                      Hunter × Hunter
S9184        1 vols     1 state chapters  LADDER  single volume                                                I Cannot Reach You
S9225        1 vols     1 state chapters  LADDER  single volume                                                I Want to Eat Your Pancreas
S9231        5 vols     5 state chapters  LADDER  c1-c29 over 5 volumes                                        I'll give it my all ... tomorrow
S9236        2 vols     2 state chapters  LADDER  c1-c8 over 2 volumes                                         I'm in Love and It's the End of the Worl
S9245        1 vols     1 state chapters  LADDER  single volume                                                ID:Invaded #Brake-Broken
S9266       10 vols     0 state chapters  NO      nothing ranged                                               Ichi the Killer
S9497        3 vols     3 state chapters  LADDER  c1-c99 over 3 volumes                                        Innocent
S9515        9 vols     9 state chapters  LADDER  c1-c63 over 9 volumes                                        Interviews with Monster Girls
S9520       18 vols    18 state chapters  LADDER  c1-c558 over 18 volumes                                      Inuyasha
S9521       10 vols    10 state chapters  LADDER  c1-c85 over 10 volumes                                       Inuyashiki
S9648        3 vols     3 state chapters  LADDER  c1-c12 over 3 volumes                                        Is It Wrong to Try to Pick Up Girls in a
S9649        6 vols     6 state chapters  LADDER  c1-c21 over 6 volumes                                        Is It Wrong to Try to Pick Up Girls in a
S9650        4 vols     4 state chapters  LADDER  c1-c19 over 4 volumes                                        Is It Wrong to Try to Pick Up Girls in a
S9652        5 vols     5 state chapters  LADDER  c0-c40 over 5 volumes                                        Is It Wrong to Try to Pick Up Girls in a
S9653       19 vols    18 state chapters  NO      volume order and chapter order disagree, first at Is It Wron Is It Wrong To Try To Pick Up Girls In A
S9656        6 vols     6 state chapters  LADDER  c1-c30 over 6 volumes                                        Is Kichijoji the Only Place to Live
S9784        4 vols     0 state chapters  NO      nothing ranged                                               Japan Sinks
S9891        5 vols     0 state chapters  NO      nothing ranged                                               Jiu Jiu
S10056      23 vols    22 state chapters  LADDER  c1-c199 over 22 volumes                                      Jujutsu Kaisen
S10212       3 vols     3 state chapters  LADDER  c1-c17 over 3 volumes                                        Kill la Kill
S10235      10 vols    10 state chapters  LADDER  c1-c81 over 10 volumes                                       Kaiju No.
S10248       6 vols     3 state chapters  LADDER  c17-c33 over 3 volumes                                       Kakegurui - Compulsive Gambler
S10249      10 vols    10 state chapters  LADDER  c1-c54 over 10 volumes                                       Kakegurui Twin
S10251       2 vols     0 state chapters  NO      nothing ranged                                               Kamakura Monogatari
S10281      14 vols    14 state chapters  LADDER  c1-c126 over 14 volumes                                      Kasane
S10285       2 vols     0 state chapters  NO      nothing ranged                                               Katsuhiro Otomo's Domu - A Child's Dream
S10287       3 vols     0 state chapters  NO      nothing ranged                                               Kaze Hikaru
S10289       5 vols     0 state chapters  NO      nothing ranged                                               Keep Your Hands Off Eizouken!
S10397       3 vols     3 state chapters  LADDER  c1-c37 over 3 volumes                                        King in Limbo
S10398       1 vols     1 state chapters  LADDER  single volume                                                King of Eden
S10406      58 vols    54 state chapters  LADDER  c16-c624 over 54 volumes                                     Kingdom
S10429       1 vols     0 state chapters  NO      nothing ranged                                               Kiss Him, Not Me
S10468      15 vols    15 state chapters  LADDER  c1-c78 over 15 volumes                                       Knights of Sidonia
S10496      30 vols    30 state chapters  LADDER  c1-c401 over 30 volumes                                      Komi Can't Communicate
S10567       2 vols     2 state chapters  LADDER  c10-c15 over 2 volumes                                       Lady Snowblood - Retribution Part
S10568       2 vols     2 state chapters  LADDER  c1-c8 over 2 volumes                                         Lady Snowblood - The Deep-Seated Grudge 
S10569       1 vols     1 state chapters  LADDER  single volume                                                Lady Snowblood Gaiden
S10578      11 vols    11 state chapters  LADDER  c1-c88 over 11 volumes                                       Land of the Lustrous
S10648       1 vols     0 state chapters  NO      nothing ranged                                               Legend of the Sun
S10717       1 vols     1 state chapters  LADDER  single volume                                                Les Misérables
S10723       2 vols     2 state chapters  LADDER  c1-c8 over 2 volumes                                         Let's Kiss in Secret Tomorrow
S10730       1 vols     1 state chapters  LADDER  single volume                                                Levius
S10731       6 vols     6 state chapters  LADDER  c1-c33 over 6 volumes                                        Levius-est
S10805       3 vols     3 state chapters  LADDER  c1-c17 over 3 volumes                                        Little Witch Academia
S10881       4 vols     0 state chapters  NO      nothing ranged                                               Lone Wolf 2100
S10882      56 vols    28 state chapters  LADDER  c1-c142 over 28 volumes                                      Lone Wolf and Cub
S10994       5 vols     0 state chapters  NO      nothing ranged                                               Love Hina
S11002       1 vols     1 state chapters  LADDER  single volume                                                Love Me, Love Me Not
S11011       1 vols     1 state chapters  LADDER  single volume                                                Love and Lies 9
S11020       5 vols     5 state chapters  LADDER  c1-c25 over 5 volumes                                        Love at fourteen
S11022       3 vols     3 state chapters  LADDER  c1-c18 over 3 volumes                                        Jigokuren: Love in the Hell
S11023       2 vols     2 state chapters  LADDER  c1-c12 over 2 volumes                                        Love in Hell - Death Life
S11029       4 vols     4 state chapters  LADDER  c1-c64 over 4 volumes                                        Loveless
S11091       1 vols     1 state chapters  LADDER  single volume                                                Lycoris Recoil
S11124      15 vols     0 state chapters  NO      nothing ranged                                               MARS
S11134       2 vols     0 state chapters  NO      nothing ranged                                               MS. ITSUYA
S11148       9 vols     2 state chapters  LADDER  c29-c31.2 over 2 volumes                                     Mad Bull
S11159      11 vols    11 state chapters  LADDER  c1-c62 over 11 volumes                                       Made in Abyss
S11190      19 vols     0 state chapters  NO      nothing ranged                                               Magi
S11205      12 vols    12 state chapters  LADDER  c1-c47 over 12 volumes                                       Magical Girl Apocalypse
S11224       3 vols     0 state chapters  NO      nothing ranged                                               Mail
S11226      10 vols    10 state chapters  LADDER  c1-c161 over 10 volumes                                      Maison Ikkoku
S11254       2 vols     0 state chapters  NO      nothing ranged                                               Man of Many Faces
S11262       1 vols     1 state chapters  LADDER  single volume                                                Manchuria Opium Squad
S11289      17 vols    16 state chapters  NO      volume order and chapter order disagree, first at March Come March Comes in Like a Lion
S11290       5 vols     0 state chapters  NO      nothing ranged                                               March Story
S11305       5 vols     5 state chapters  LADDER  c1-c39 over 5 volumes                                        Marmalade Boy
S11813       8 vols     2 state chapters  NO      v[46026] c2-2 overlaps v[46027] c2-2                         Master Keaton
S11937       2 vols     2 state chapters  LADDER  c1-c16 over 2 volumes                                        Mermaid Saga
S11938       1 vols     1 state chapters  LADDER  single volume                                                Mermaid Scales and the Town of Sand
S11945       2 vols     0 state chapters  NO      nothing ranged                                               Message To Adolf
S12236       9 vols     9 state chapters  LADDER  c1-c96 over 9 volumes                                        MoMo -the blood taker-
S12237      13 vols    13 state chapters  LADDER  c1-c95 over 13 volumes                                       Mob Psycho
S12241      21 vols     0 state chapters  NO      nothing ranged                                               Mobile Suit Gundam Thunderbolt
S12242      14 vols     0 state chapters  NO      nothing ranged                                               Mobile Suit Gundam WING: Endless Waltz: 
S12298      16 vols    16 state chapters  NO      v[46028] c2-2 overlaps v[46029] c2-2                         Monster
S12320       8 vols     8 state chapters  LADDER  c1-c79 over 8 volumes                                        Monthly Girls' Nozaki-kun
S12372      16 vols    16 state chapters  LADDER  c1-c64 over 16 volumes                                       Moriarty the Patriot
S12452      18 vols     0 state chapters  NO      nothing ranged                                               Muhyo and Roji's Bureau of Supernatural 
S12480      20 vols    20 state chapters  LADDER  c1-c139 over 20 volumes                                      Murcielago
S12489       1 vols     0 state chapters  NO      nothing ranged                                               Mushi Shi
S12490       7 vols     0 state chapters  NO      nothing ranged                                               Mushishi
S12514       2 vols     2 state chapters  LADDER  c1-c28 over 2 volumes                                        Don't Tell My Husband
S12516       1 vols     1 state chapters  LADDER  single volume                                                My Clueless First Friend
S12525      38 vols    38 state chapters  LADDER  c1-c386 over 38 volumes                                      My Hero Academia
S12526       5 vols     5 state chapters  LADDER  c1-c94 over 5 volumes                                        My Hero Academia - Smash!!
S12527       4 vols     4 state chapters  LADDER  c0-c23 over 4 volumes                                        My Hero Academia - Team-Up Missions
S12529      15 vols    15 state chapters  LADDER  c1-c126 over 15 volumes                                      My Hero Academia Vigilantes, Vol. 3
